Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Toronto Raptors,82,19780,3144,6755,.465,345,1091,.316,2799,5664,.494,1491,1976,.755,963,2343,3306,1795,581,350,1206,1807,8124
Philadelphia 76ers*,82,19930,3125,6776,.461,443,1248,.355,2682,5528,.485,1426,1851,.770,850,2578,3428,1861,621,355,1063,1592,8119
Los Angeles Clippers,82,19855,3015,6594,.457,513,1519,.338,2502,5075,.493,1546,2187,.707,955,2501,3456,1813,585,402,1343,1733,8089
Chicago Bulls*,82,19830,3042,6587,.462,511,1415,.361,2531,5172,.489,1492,2008,.743,967,2654,3621,1827,592,468,1161,1639,8087
Washington Wizards,82,19930,3048,6888,.443,392,1182,.332,2656,5706,.465,1489,1999,.745,1013,2374,3387,1592,665,502,1258,1850,7977
Detroit Pistons,82,19880,3056,6647,.460,472,1256,.376,2584,5391,.479,1367,1854,.737,931,2236,3167,1730,595,328,1067,1629,7951
Boston Celtics*,82,19780,3023,6219,.486,408,1119,.365,2615,5100,.513,1459,1895,.770,639,2542,3181,1921,676,344,1195,1678,7913
Portland Trail Blazers*,82,19805,2951,6599,.447,518,1503,.345,2433,5096,.477,1476,1835,.804,996,2230,3226,1736,660,358,1070,1585,7896
Cleveland Cavaliers,82,19755,2886,6647,.434,509,1489,.342,2377,5158,.461,1546,2075,.745,856,2449,3305,1720,544,341,1166,1648,7827
Atlanta Hawks*,82,19730,2971,6429,.462,502,1427,.352,2469,5002,.494,1346,1728,.779,762,2460,3222,1802,497,341,1118,1554,7790
New Orleans Hornets*,82,19830,2944,6416,.459,444,1232,.360,2500,5184,.482,1452,1897,.765,824,2468,3292,1691,624,359,1069,1719,7784
New Jersey Nets,82,20005,2918,6638,.440,459,1337,.343,2459,5301,.464,1427,1881,.759,909,2440,3349,1723,458,384,1152,1807,7722
Charlotte Bobcats,82,19805,2873,6365,.451,393,1203,.327,2480,5162,.480,1511,1999,.756,848,2444,3292,1728,524,433,1192,1637,7650
Milwaukee Bucks,82,19830,2814,6544,.430,483,1414,.342,2331,5130,.454,1423,1881,.757,862,2480,3342,1545,617,399,1103,1682,7534
League Average,82,19835,3054,6660,.459,530,1477,.358,2525,5183,.487,1525,1998,.763,895,2499,3394,1763,601,399,1169,1698,8163
Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Denver Nuggets*,66,16040,2572,5404,.476,435,1311,.332,2137,4093,.522,1293,1760,.735,738,2105,2843,1581,540,330,1015,1297,6872
San Antonio Spurs*,66,15940,2611,5463,.478,552,1405,.393,2059,4058,.507,1067,1427,.748,683,2153,2836,1528,490,293,895,1143,6841
Oklahoma City Thunder*,66,15990,2462,5229,.471,472,1317,.358,1990,3912,.509,1406,1744,.806,726,2157,2883,1224,498,539,1079,1352,6802
Utah Jazz*,66,16165,2523,5531,.456,273,845,.323,2250,4686,.480,1258,1668,.754,861,2055,2916,1439,545,385,936,1441,6577
Milwaukee Bucks,66,15865,2502,5652,.443,436,1265,.345,2066,4387,.471,1095,1415,.774,820,1983,2803,1550,548,335,929,1273,6535
Sacramento Kings,66,15915,2490,5712,.436,411,1301,.316,2079,4411,.471,1127,1532,.736,882,1947,2829,1271,561,323,952,1287,6518
Miami Heat*,66,16040,2446,5212,.469,370,1030,.359,2076,4182,.496,1238,1598,.775,686,2060,2746,1317,585,355,1002,1282,6500
Phoenix Suns,66,15840,2495,5445,.458,444,1295,.343,2051,4150,.494,1058,1397,.757,717,2035,2752,1486,431,366,928,1233,6492
Houston Rockets,66,16065,2489,5543,.449,478,1330,.359,2011,4213,.477,1018,1301,.782,769,2014,2783,1404,496,319,955,1347,6474
Minnesota Timberwolves,66,15940,2355,5434,.433,473,1423,.332,1882,4011,.469,1281,1662,.771,797,2089,2886,1290,436,293,1001,1212,6464
