Lg,Player,Voting,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Award
NBA,Aaron McKie, (V),28,PHI,76,31.5,11.6,4.1,5.0,1.4,0.1,.473,.312,.768,5.9,.118,smoy
NBA,Rodney Rogers, (V),28,PHO,82,27.9,13.8,5.5,2.1,1.1,0.6,.486,.439,.639,7.4,.154,smoy
NBA,Darrell Armstrong, (V),30,ORL,50,30.0,13.8,3.6,6.7,2.2,0.1,.441,.365,.904,6.4,.205,smoy
NBA,Danny Manning, (V),31,PHO,70,25.6,13.5,5.6,2.0,1.0,0.7,.516,.000,.739,6.5,.174,smoy
NBA,John Starks, (V),31,NYK,77,26.5,13.8,2.7,2.8,1.2,0.1,.431,.369,.769,5.8,.136,smoy
NBA,Toni Kukoč, (V),27,CHI,81,26.0,13.1,4.0,3.5,0.8,0.3,.490,.403,.772,10.1,.231,smoy
NBA,Anthony Mason, (V),28,NYK,77,32.4,9.9,8.4,3.1,0.9,0.3,.566,.000,.641,8.6,.166,smoy
NBA,Dell Curry, (V),29,CHH,82,26.5,16.3,3.2,2.7,1.2,0.3,.455,.402,.873,5.0,.110,smoy
NBA,Clifford Robinson, (V),26,POR,82,31.4,19.1,6.6,2.2,1.2,2.0,.473,.247,.690,6.8,.127,smoy
NBA,Detlef Schrempf, (V),29,IND,80,32.6,17.3,9.6,3.9,0.8,0.5,.536,.324,.828,9.8,.181,smoy
NBA,Detlef Schrempf, (V),28,IND,82,32.1,16.1,8.0,3.7,0.7,0.3,.520,.375,.818,9.0,.165,smoy
NBA,Ricky Pierce, (V),30,MIL,59,29.0,23.0,2.8,2.3,0.8,0.1,.510,.346,.839,5.8,.163,smoy
NBA,Eddie Johnson, (V),29,PHO,70,29.2,21.5,4.4,2.3,0.7,0.1,.497,.413,.868,6.5,.152,smoy
NBA,Roy Tarpley, (V),23,DAL,81,28.5,13.5,11.8,1.1,1.3,1.1,.500,.000,.740,7.8,.163,smoy
NBA,Ricky Pierce, (V),27,MIL,79,31.7,19.5,3.4,1.8,0.8,0.3,.534,.107,.880,9.4,.180,smoy
NBA,Bill Walton, (V),33,BOS,80,19.3,7.6,6.8,2.1,0.5,1.3,.562,,.713,5.0,.157,smoy
NBA,Kevin McHale, (V),27,BOS,79,33.6,19.8,9.0,1.8,0.4,1.5,.570,.000,.760,11.0,.199,smoy
NBA,Kevin McHale, (V),26,BOS,82,31.4,18.4,7.4,1.3,0.3,1.5,.556,.333,.765,10.5,.196,smoy
NBA,Bobby Jones,,31,PHI,74,23.6,9.0,4.6,1.9,1.1,1.2,.543,.000,.793,6.4,.175,smoy
Lg,Player,Voting,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Award
NBA,Ja Morant, (V),22,MEM,57,33.1,27.4,5.7,6.7,1.2,0.4,.493,.344,.761,6.7,.171,mip
NBA,Julius Randle, (V),26,NYK,71,37.6,24.1,10.2,6.0,0.9,0.3,.456,.411,.811,7.8,.140,mip
NBA,Brandon Ingram, (V),22,NOP,62,33.9,23.8,6.1,4.2,1.0,0.6,.463,.391,.851,5.1,.115,mip
NBA,Pascal Siakam, (V),24,TOR,80,31.9,16.9,6.9,3.1,0.9,0.7,.549,.369,.785,9.3,.175,mip
NBA,Victor Oladipo, (V),25,IND,75,34.0,23.1,5.2,4.3,2.4,0.8,.477,.371,.799,8.2,.155,mip
NBA,Giannis Antetokounmpo, (V),22,MIL,80,35.6,22.9,8.8,5.4,1.6,1.9,.521,.272,.770,12.4,.210,mip
NBA,CJ McCollum, (V),24,POR,80,34.8,20.8,3.2,4.3,1.2,0.3,.448,.417,.827,6.0,.104,mip
NBA,Jimmy Butler, (V),25,CHI,65,38.7,20.0,5.8,3.3,1.8,0.6,.462,.378,.834,11.2,.214,mip
NBA,Goran Dragić, (V),27,PHO,76,35.1,20.3,3.2,5.9,1.4,0.3,.505,.408,.760,10.3,.186,mip
NBA,Paul George, (V),22,IND,79,37.6,17.4,7.6,4.1,1.8,0.6,.419,.362,.807,9.0,.145,mip
NBA,Ryan Anderson, (V),23,ORL,61,32.2,16.1,7.7,0.9,0.8,0.4,.439,.393,.877,8.9,.219,mip
NBA,Kevin Love, (V),22,MIN,73,35.8,20.2,15.2,2.5,0.6,0.4,.470,.417,.850,11.4,.210,mip
NBA,Aaron Brooks, (V),25,HOU,82,35.6,19.6,2.6,5.3,0.8,0.2,.432,.398,.822,5.5,.091,mip
NBA,Danny Granger, (V),25,IND,67,36.2,25.8,5.1,2.7,1.0,1.4,.447,.404,.878,8.0,.158,mip
NBA,Hedo Türkoğlu, (V),28,ORL,82,36.9,19.5,5.7,5.0,0.9,0.3,.456,.400,.829,9.0,.143,mip
NBA,Monta Ellis, (V),21,GSW,77,34.3,16.5,3.2,4.1,1.7,0.3,.475,.273,.763,4.0,.072,mip
NBA,Boris Diaw, (V),23,PHO,81,35.5,13.3,6.9,6.2,0.7,1.0,.526,.267,.731,8.9,.149,mip
NBA,Bobby Simmons, (V),24,LAC,75,37.3,16.4,5.9,2.7,1.4,0.2,.466,.435,.846,6.8,.117,mip
NBA,Zach Randolph, (V),22,POR,81,37.9,20.1,10.5,2.0,0.8,0.5,.485,.200,.761,7.1,.111,mip
NBA,Gilbert Arenas, (V),21,GSW,82,35.0,18.3,4.7,6.3,1.5,0.2,.431,.348,.791,6.5,.109,mip
NBA,Jermaine O'Neal, (V),23,IND,72,37.6,19.0,10.5,1.6,0.6,2.3,.479,.071,.688,6.4,.113,mip
NBA,Tracy McGrady, (V),21,ORL,77,40.1,26.8,7.5,4.6,1.5,1.5,.457,.355,.733,12.2,.189,mip
NBA,Jalen Rose, (V),27,IND,80,37.2,18.2,4.8,4.0,1.1,0.6,.471,.393,.827,7.3,.118,mip
NBA,Darrell Armstrong, (V),30,ORL,50,30.0,13.8,3.6,6.7,2.2,0.1,.441,.365,.904,6.4,.205,mip
NBA,Alan Henderson, (V),25,ATL,69,29.0,14.3,6.4,1.1,0.6,0.5,.485,.500,.652,6.0,.144,mip
NBA,Isaac Austin, (V),27,MIA,82,22.9,9.7,5.8,1.2,0.5,0.5,.502,.000,.664,4.0,.102,mip
NBA,Gheorghe Mureșan, (V),24,WSB,76,29.5,14.5,9.6,0.7,0.7,2.3,.584,.000,.619,8.0,.172,mip
NBA,Dana Barros, (V),27,PHI,82,40.5,20.6,3.3,7.5,1.8,0.0,.490,.464,.899,12.7,.183,mip
NBA,Don MacLean, (V),24,WSB,75,33.2,18.2,6.2,2.1,0.6,0.3,.502,.143,.824,5.6,.108,mip
NBA,Mahmoud Abdul-Rauf, (V),23,DEN,81,33.5,19.2,2.8,4.2,1.0,0.1,.450,.355,.935,5.1,.091,mip
NBA,Pervis Ellison, (V),24,WSB,66,38.0,20.0,11.2,2.9,0.9,2.7,.539,.333,.728,6.9,.131,mip
NBA,Scott Skiles, (V),26,ORL,79,34.4,17.2,3.4,8.4,1.1,0.1,.445,.408,.902,7.0,.124,mip
NBA,Rony Seikaly, (V),24,MIA,74,32.6,16.6,10.4,1.1,1.1,1.7,.502,.000,.594,3.2,.063,mip
NBA,Kevin Johnson, (V),22,PHO,81,39.2,20.4,4.2,12.2,1.7,0.3,.505,.091,.882,12.2,.184,mip
NBA,Kevin Duckworth, (V),23,POR,78,28.5,15.8,7.4,0.8,0.4,0.4,.496,,.770,5.2,.112,mip
NBA,Dale Ellis,,26,SEA,82,37.5,24.9,5.5,2.9,1.3,0.4,.516,.358,.787,9.3,.145,mip
NBA,Alvin Robertson, (V),23,SAS,82,35.1,17.0,6.3,5.5,3.7,0.5,.514,.276,.795,8.6,.143,mip
