ATL,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NJN,NOH,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS,Season
52%,53%,49%,63%,55%,39%,82%,71%,52%,32%,73%,55%,49%,70%,82%,79%,54%,54%,41%,54%,80%,26%,63%,41%,57%,81%,95%,55%,73%,47%,['2012-13']
72%,65%,57%,93%,64%,71%,64%,69%,47%,73%,72%,52%,79%,72%,79%,58%,73%,54%,48%,47%,93%,84%,90%,70%,59%,58%,79%,78%,77%,69%,['2011-12']
88%,76%,70%,49%,58%,79%,72%,80%,53%,77%,77%,38%,85%,80%,45%,62%,40%,34%,45%,34%,91%,64%,75%,61%,78%,61%,82%,59%,50%,47%,['2010-11']
80%,79%,59%,72%,71%,63%,76%,48%,58%,64%,64%,66%,87%,60%,78%,42%,46%,69%,58%,78%,76%,61%,73%,85%,70%,58%,61%,38%,86%,59%,['2009-10']
79%,94%,52%,73%,78%,91%,66%,81%,56%,74%,52%,23%,95%,49%,57%,47%,58%,41%,77%,61%,58%,64%,80%,63%,72%,66%,77%,78%,92%,74%,['2008-09']
76%,50%,66%,76%,78%,75%,95%,79%,91%,76%,80%,63%,78%,63%,52%,60%,36%,75%,78%,76%,56%,69%,75%,76%,74%,67%,87%,71%,88%,89%,['2007-08']
72%,75%,72%,65%,92%,77%,66%,81%,67%,75%,57%,82%,79%,72%,92%,53%,73%,72%,55%,84%,91%,92%,72%,95%,52%,85%,84%,37%,74%,81%,['2006-07']
50%,72%,66%,82%,63%,82%,84%,90%,88%,54%,76%,54%,70%,63%,49%,38%,56%,86%,47%,43%,82%,83%,86%,41%,61%,62%,82%,54%,66%,66%,['2005-06']
11%,67%,,46%,55%,51%,64%,81%,72%,31%,75%,63%,27%,91%,50%,65%,86%,43%,35%,66%,84%,11%,71%,59%,69%,63%,76%,66%,54%,74%,['2004-05']
52%,50%,,49%,44%,49%,38%,78%,45%,70%,84%,63%,62%,68%,44%,50%,27%,95%,76%,52%,84%,42%,65%,75%,77%,69%,62%,38%,58%,65%,['2003-04']
74%,78%,,69%,55%,86%,38%,64%,85%,69%,92%,66%,93%,61%,66%,69%,68%,89%,,92%,76%,68%,54%,73%,81%,81%,81%,67%,62%,61%,['2002-03']
61%,79%,79%,45%,62%,70%,66%,63%,72%,70%,73%,81%,79%,27%,51%,81%,79%,41%,,80%,70%,78%,51%,53%,71%,83%,59%,90%,76%,67%,['2001-02']
64%,65%,55%,47%,41%,67%,70%,40%,62%,88%,84%,54%,72%,70%,45%,75%,73%,61%,,76%,79%,56%,90%,63%,81%,71%,75%,64%,66%,68%,['2000-01']
45%,68%,67%,28%,67%,85%,57%,77%,51%,35%,98%,61%,69%,52%,81%,83%,87%,86%,,94%,44%,33%,84%,56%,63%,76%,83%,72%,79%,63%,['1999-00']
68%,61%,36%,58%,78%,67%,41%,83%,58%,47%,92%,65%,66%,52%,77%,60%,50%,59%,,69%,69%,70%,54%,62%,83%,29%,71%,58%,91%,63%,['1998-99']
86%,37%,58%,92%,19%,67%,28%,65%,39%,95%,86%,71%,83%,63%,84%,51%,80%,63%,,80%,62%,63%,48%,66%,64%,54%,59%,67%,98%,84%,['1997-98']
50%,69%,51%,97%,87%,26%,55%,84%,68%,46%,81%,78%,49%,39%,56%,54%,59%,42%,,49%,78%,62%,53%,59%,52%,87%,75%,50%,92%,59%,['1996-97']
78%,66%,45%,81%,73%,86%,79%,68%,54%,79%,81%,62%,86%,,38%,63%,53%,67%,,89%,75%,87%,35%,68%,77%,68%,80%,,80%,53%,['1995-96']
53%,49%,82%,80%,77%,70%,77%,44%,41%,78%,82%,42%,74%,,54%,53%,51%,87%,,97%,90%,76%,53%,70%,88%,76%,54%,,76%,59%,['1994-95']
71%,77%,66%,57%,78%,48%,82%,44%,74%,84%,61%,72%,68%,,99%,72%,68%,45%,,86%,72%,76%,45%,77%,84%,76%,72%,,66%,64%,['1993-94']
73%,82%,73%,86%,88%,63%,66%,66%,66%,75%,77%,58%,82%,,83%,39%,34%,75%,,60%,88%,62%,51%,56%,73%,77%,54%,,80%,65%,['1992-93']
50%,77%,74%,96%,79%,62%,60%,79%,76%,88%,92%,77%,77%,,85%,78%,83%,86%,,68%,94%,74%,84%,95%,94%,54%,72%,,80%,55%,['1991-92']
87%,75%,64%,89%,73%,74%,41%,97%,83%,73%,89%,83%,74%,,74%,69%,79%,56%,,89%,70%,76%,58%,78%,88%,20%,70%,,83%,67%,['1990-91']
73%,89%,56%,83%,72%,96%,81%,95%,62%,66%,84%,75%,83%,,59%,69%,,54%,,95%,77%,,69%,83%,64%,75%,27%,,84%,88%,['1989-90']
68%,74%,,77%,90%,82%,73%,92%,71%,48%,73%,57%,89%,,,87%,,41%,,73%,78%,,60%,69%,82%,49%,43%,,83%,79%,['1988-89']
99%,79%,,71%,77%,98%,76%,95%,52%,67%,84%,69%,96%,,,88%,,46%,,60%,81%,,66%,57%,84%,68%,70%,,92%,66%,['1987-88']
90%,90%,,66%,40%,89%,82%,62%,79%,81%,63%,60%,86%,,,69%,,43%,,73%,41%,,46%,74%,80%,76%,62%,,73%,45%,['1986-87']
77%,80%,,44%,81%,79%,95%,81%,60%,97%,58%,62%,83%,,,91%,,91%,,68%,80%,,82%,79%,82%,81%,51%,,78%,69%,['1985-86']
71%,97%,,72%,68%,81%,53%,84%,66%,55%,60%,55%,98%,,,61%,,82%,,62%,62%,,82%,73%,60%,87%,73%,,85%,65%,['1984-85']
78%,85%,,71%,62%,85%,86%,93%,80%,42%,58%,42%,82%,,,80%,,86%,,76%,54%,,88%,81%,92%,63%,68%,,86%,76%,['1983-84']
73%,89%,,52%,59%,70%,75%,82%,68%,44%,63%,42%,87%,,,67%,,73%,,37%,86%,,66%,73%,56%,73%,64%,,64%,82%,['1982-83']
73%,95%,,89%,35%,34%,1.00,50%,83%,84%,75%,56%,83%,,,84%,,36%,,61%,70%,,94%,89%,79%,44%,64%,,85%,48%,['1981-82']
82%,79%,,70%,47%,,51%,57%,33%,85%,76%,56%,85%,,,80%,,50%,,76%,72%,,87%,78%,69%,73%,57%,,50%,78%,['1980-81']
92%,65%,,45%,48%,,63%,41%,95%,66%,56%,73%,61%,,,60%,,51%,,61%,95%,,88%,88%,62%,76%,65%,,11%,80%,['1979-80']
69%,48%,,65%,81%,,55%,60%,56%,81%,48%,26%,84%,,,91%,,74%,,66%,79%,,69%,83%,69%,65%,98%,,74%,97%,['1978-79']
47%,73%,,79%,87%,,52%,70%,75%,81%,38%,34%,36%,,,61%,,29%,,71%,33%,,98%,55%,85%,59%,90%,,67%,75%,['1977-78']
43%,69%,,50%,93%,,,63%,87%,65%,,54%,62%,,,61%,,,,54%,61%,,58%,70%,47%,44%,,,85%,69%,['1976-77']
83%,79%,,72%,90%,,,79%,86%,81%,,83%,50%,,,46%,,,,77%,61%,,71%,44%,72%,79%,,,76%,82%,['1975-76']
38%,91%,,64%,66%,,,87%,63%,92%,,85%,57%,,,61%,,,,93%,50%,,63%,54%,77%,81%,,,,81%,['1974-75']
79%,98%,,96%,84%,,,91%,84%,74%,,40%,66%,,,87%,,,,98%,74%,,59%,64%,66%,59%,,,,82%,['1973-74']
89%,84%,,82%,53%,,,59%,75%,46%,,65%,79%,,,81%,,,,94%,55%,,26%,84%,48%,72%,,,,72%,['1972-73']
50%,99%,,73%,56%,,,75%,72%,65%,,53%,85%,,,73%,,,,68%,97%,,50%,81%,62%,55%,,,,46%,['1971-72']
70%,72%,,75%,,,,82%,92%,61%,,,71%,,,62%,,,,93%,56%,,75%,66%,,44%,,,,86%,['1970-71']
79%,80%,,67%,,,,81%,76%,88%,,,60%,,,61%,,,,92%,55%,,82%,46%,,53%,,,,85%,['1969-70']
