,Date,Age,Game Result,GS,MP,FG,FGA,FGcent,3P,3PA,3Pcent,FT,FTA,FTcent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PointDifference,Player,2P,2PA,2Pcent
591,11/12/2022,25.926027397260274,W,0,1.65,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0.0,Haywood Highsmith,0,0,
592,11/18/2022,25.942465753424656,L,1,41.916666666666664,5,17,0.294,1,7,0.143,1,2,0.5,4,10,14,2,2,0,1,1,12,9.5,-2.0,Haywood Highsmith,4,10,0.4
593,11/20/2022,25.947945205479453,L,0,28.633333333333333,0,3,0.0,0,2,0.0,0,2,0.0,1,3,4,0,1,0,0,2,0,-1.1,-23.0,Haywood Highsmith,0,1,0.0
599,10/27/2022,19.383561643835616,L,0,7.6,2,4,0.5,0,2,0.0,0,0,,0,0,0,1,1,0,0,0,4,3.7,-2.0,Nikola Jović,2,2,1.0
600,10/29/2022,19.389041095890413,L,0,0.8333333333333334,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5.0,Nikola Jović,0,0,
601,11/12/2022,19.427397260273974,W,0,1.6333333333333333,1,1,1.0,1,1,1.0,0,0,,0,0,0,0,0,0,1,0,3,1.7,0.0,Nikola Jović,0,0,
602,11/16/2022,19.438356164383563,L,1,23.816666666666666,4,8,0.5,1,3,0.333,4,4,1.0,1,2,3,1,1,0,2,1,13,9.6,-3.0,Nikola Jović,3,5,0.6
604,11/20/2022,19.44931506849315,L,1,32.21666666666667,2,9,0.222,1,6,0.167,2,2,1.0,2,2,4,5,1,0,1,2,7,6.2,-7.0,Nikola Jović,1,3,0.3333333333333333
605,11/21/2022,19.45205479452055,L,1,22.883333333333333,1,5,0.2,0,3,0.0,2,2,1.0,1,4,5,3,1,0,1,1,4,4.5,-2.0,Nikola Jović,1,2,0.5
606,11/23/2022,19.457534246575342,W,1,12.466666666666667,3,7,0.429,1,3,0.333,0,0,,0,5,5,0,0,0,2,0,7,2.8,-8.0,Nikola Jović,2,4,0.5
607,11/25/2022,19.463013698630135,W,1,14.466666666666667,3,6,0.5,0,3,0.0,1,1,1.0,0,1,1,0,1,1,0,1,7,5.6,-1.0,Nikola Jović,3,3,1.0
