Age,GS,MP,FG,FGA,FGcent,ThreeP,ThreePA,ThreePcent,TwoP,TwoPA,TwoPcent,FT,FTA,FTcent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PointDifference,PlayerName,stat
26.13561643835617,1.0,36.6375,8.25,18.75,0.43315000000000003,2.0,5.95,0.3153,6.25,12.8,0.4832855375618532,2.25,2.55,0.8904666666666666,0.7,5.25,5.95,6.65,1.95,0.3,2.4,1.65,20.75,16.625,0.7,Dejounte Murray,avg
25.124657534246573,1.0,32.18750000000001,4.85,9.95,0.47989999999999994,0.75,3.35,0.265,4.1,6.6,0.6442078754578754,2.15,2.35,0.9125000000000001,1.25,6.2,7.45,1.25,0.8,1.3,1.5,3.3,12.6,9.995,0.5,John Collins,avg
20.889041095890413,0.0,13.296666666666667,1.8,3.8,0.5191666666666666,0.25,1.3,0.17857142857142858,1.55,2.5,0.7016806722689076,0.5,0.75,0.6785714285714286,0.45,2.4,2.85,0.7,0.7,0.3,0.45,1.45,4.35,3.715,-0.2,Jalen Johnson,avg
24.135688536409514,1.0,35.48947368421053,8.947368421052632,22.105263157894736,0.401,2.3157894736842106,7.368421052631579,0.32126315789473686,6.631578947368421,14.736842105263158,0.4462200282330851,8.0,8.894736842105264,0.8800555555555556,0.8421052631578947,2.1578947368421053,3.0,9.368421052631579,0.8421052631578947,0.15789473684210525,3.526315789473684,1.5263157894736843,28.210526315789473,20.568421052631578,1.368421052631579,Trae Young,avg
24.930930064888248,1.0,31.923684210526318,5.526315789473684,12.68421052631579,0.43305263157894736,1.368421052631579,4.052631578947368,0.3420526315789474,4.157894736842105,8.631578947368421,0.47940400243031817,3.0,3.6842105263157894,0.7721764705882352,0.7368421052631579,3.526315789473684,4.2631578947368425,1.0526315789473684,0.3684210526315789,0.15789473684210525,1.368421052631579,3.1052631578947367,15.421052631578947,8.657894736842104,0.6842105263157895,De'Andre Hunter,avg
21.907570295602017,0.10526315789473684,21.107017543859648,3.1578947368421053,5.052631578947368,0.5948333333333333,0.0,0.10526315789473684,0.0,3.1578947368421053,4.947368421052632,0.6025132275132274,1.263157894736842,1.736842105263158,0.725,2.210526315789474,4.0,6.2105263157894735,1.0,0.5789473684210527,0.8421052631578947,0.7368421052631579,3.0,7.578947368421052,7.794736842105263,-2.1578947368421053,Onyeka Okongwu,avg
26.102667627974043,0.05263157894736842,17.84824561403509,1.736842105263158,4.2105263157894735,0.4016111111111111,0.631578947368421,1.368421052631579,0.47021428571428575,1.105263157894737,2.8421052631578947,0.3611111111111111,0.42105263157894735,0.5789473684210527,0.7,0.42105263157894735,1.0526315789473684,1.4736842105263157,1.4736842105263157,0.6842105263157895,0.15789473684210525,0.7894736842105263,1.8421052631578947,4.526315789473684,3.1210526315789475,-0.3684210526315789,Aaron Holiday,avg
28.46971080669711,1.0,27.269444444444442,5.055555555555555,8.333333333333334,0.5941111111111111,0.0,0.0,,5.055555555555555,8.333333333333334,0.5941436649769983,0.9444444444444444,1.7222222222222223,0.625,4.222222222222222,7.666666666666667,11.88888888888889,0.8333333333333334,0.6111111111111112,1.6111111111111112,0.9444444444444444,2.111111111111111,11.055555555555555,12.722222222222221,1.4444444444444444,Clint Capela,avg
33.58646253021757,0.0,16.618627450980394,1.9411764705882353,5.235294117647059,0.319125,1.1764705882352942,3.7058823529411766,0.272125,0.7647058823529411,1.5294117647058822,0.4423076923076923,0.0,0.0,,0.058823529411764705,0.8823529411764706,0.9411764705882353,0.9411764705882353,0.23529411764705882,0.29411764705882354,0.5294117647058824,1.6470588235294117,5.0588235294117645,2.388235294117647,-1.8235294117647058,Justin Holiday,avg
19.213013698630135,0.0625,17.653125,3.4375,7.125,0.45075,1.4375,3.6875,0.4370666666666666,2.0,3.4375,0.47888888888888886,0.4375,0.4375,1.0,0.8125,1.1875,2.0,0.75,0.9375,0.0625,0.6875,1.125,8.75,6.43125,-1.125,AJ Griffin,avg
29.60791476407915,0.0,6.024074074074074,0.7777777777777778,1.2222222222222223,0.5833333333333334,0.3333333333333333,0.5555555555555556,0.5556666666666666,0.4444444444444444,0.6666666666666666,0.5,0.4444444444444444,0.4444444444444444,1.0,0.0,1.2222222222222223,1.2222222222222223,0.5555555555555556,0.0,0.0,0.2222222222222222,1.1111111111111112,2.3333333333333335,1.8777777777777775,-0.5555555555555556,Frank Kaminsky,avg
22.38390410958904,0.0,2.5854166666666663,0.5,0.875,0.54175,0.375,0.75,0.5,0.125,0.125,1.0,0.0,0.0,,0.0,0.25,0.25,0.125,0.0,0.0,0.0,0.25,1.375,1.025,-0.125,Vit Krejci,avg
23.663013698630134,0.0,2.9690476190476187,0.42857142857142855,0.8571428571428571,0.5,0.14285714285714285,0.42857142857142855,0.3333333333333333,0.2857142857142857,0.42857142857142855,0.6666666666666666,0.0,0.0,,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,1.0,0.9428571428571428,-0.2857142857142857,Tyrese Martin,avg
24.4041095890411,0.0,5.266666666666667,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,,0.0,0.3333333333333333,0.3333333333333333,1.1666666666666667,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.7833333333333333,-0.6666666666666666,Trent Forrest,avg
