,Date,Age,Game Result,GS,MP,FG,FGA,FGcent,3P,3PA,3Pcent,FT,FTA,FTcent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PointDifference,Player,2P,2PA,2Pcent
474,10/22/2022,25.263013698630136,W,1,35.7,4,6,0.667,0,1,0.0,2,2,1.0,0,7,7,1,0,0,3,3,10,6.0,5.0,Bam Adebayo,4,5,0.8
475,10/24/2022,25.268493150684932,L,1,37.68333333333333,4,14,0.286,0,0,,6,6,1.0,4,6,10,3,1,2,3,1,14,11.5,5.0,Bam Adebayo,4,14,0.2857142857142857
476,10/26/2022,25.273972602739725,W,1,28.35,6,11,0.545,0,1,0.0,6,7,0.857,3,5,8,3,1,0,3,3,18,14.8,17.0,Bam Adebayo,6,10,0.6
478,10/29/2022,25.28219178082192,L,1,37.71666666666667,9,16,0.563,0,0,,5,6,0.833,2,4,6,4,0,2,1,6,23,18.4,6.0,Bam Adebayo,9,16,0.5625
479,11/1/2022,25.29041095890411,W,1,37.18333333333333,8,15,0.533,0,0,,3,3,1.0,1,6,7,6,3,1,2,4,19,18.5,0.0,Bam Adebayo,8,15,0.5333333333333333
480,11/2/2022,25.293150684931508,W,1,32.1,9,16,0.563,0,0,,2,2,1.0,2,9,11,6,0,0,4,5,20,14.7,2.0,Bam Adebayo,9,16,0.5625
481,11/4/2022,25.2986301369863,L,1,33.86666666666667,7,14,0.5,0,1,0.0,4,4,1.0,3,7,10,4,1,0,5,4,18,12.4,3.0,Bam Adebayo,7,13,0.5384615384615384
482,11/7/2022,25.306849315068494,L,1,33.36666666666667,8,14,0.571,0,0,,0,1,0.0,2,3,5,3,1,1,1,1,16,13.7,2.0,Bam Adebayo,8,14,0.5714285714285714
483,11/10/2022,25.315068493150687,W,1,38.6,6,15,0.4,0,1,0.0,6,6,1.0,2,12,14,4,2,0,5,5,18,12.7,9.0,Bam Adebayo,6,14,0.42857142857142855
484,11/12/2022,25.32054794520548,W,1,33.06666666666667,11,18,0.611,0,0,,2,3,0.667,1,14,15,4,1,1,5,4,24,18.2,19.0,Bam Adebayo,11,18,0.6111111111111112
485,11/14/2022,25.326027397260273,W,1,36.233333333333334,9,18,0.5,0,1,0.0,12,14,0.857,6,4,10,1,1,0,3,2,30,23.5,12.0,Bam Adebayo,9,17,0.5294117647058824
488,11/23/2022,25.350684931506848,W,1,35.35,5,15,0.333,0,0,,5,6,0.833,4,7,11,2,2,1,2,4,15,11.5,6.0,Bam Adebayo,5,15,0.3333333333333333
489,11/25/2022,25.356164383561644,W,1,35.3,15,22,0.682,0,1,0.0,8,8,1.0,3,9,12,3,0,0,0,4,38,33.9,1.0,Bam Adebayo,15,21,0.7142857142857143
490,11/27/2022,25.361643835616437,W,1,33.7,13,20,0.65,0,0,,6,6,1.0,1,7,8,1,0,1,3,2,32,23.6,1.0,Bam Adebayo,13,20,0.65
491,10/19/2022,26.561643835616437,L,0,30.816666666666666,7,9,0.778,5,7,0.714,3,5,0.6,1,6,7,1,0,0,2,3,22,17.7,3.0,Max Strus,2,2,1.0
494,10/24/2022,26.575342465753426,L,1,30.183333333333334,3,14,0.214,0,8,0.0,0,0,,1,5,6,2,0,0,0,3,6,-0.2,10.0,Max Strus,3,6,0.5
495,10/26/2022,26.58082191780822,W,0,27.65,6,11,0.545,4,7,0.571,0,0,,3,6,9,3,2,0,3,1,16,15.3,24.0,Max Strus,2,4,0.5
498,11/1/2022,26.5972602739726,W,0,32.6,8,17,0.471,4,10,0.4,4,4,1.0,0,1,1,2,1,0,2,2,24,15.2,5.0,Max Strus,4,7,0.5714285714285714
500,11/4/2022,26.605479452054794,L,1,39.63333333333333,6,13,0.462,3,7,0.429,2,2,1.0,1,6,7,3,2,0,3,3,17,12.7,5.0,Max Strus,3,6,0.5
501,11/7/2022,26.613698630136987,L,1,25.2,6,10,0.6,4,8,0.5,0,0,,0,0,0,2,1,0,0,5,16,11.8,2.0,Max Strus,2,2,1.0
502,11/10/2022,26.621917808219177,W,1,39.71666666666667,5,15,0.333,2,11,0.182,0,0,,0,1,1,1,2,0,1,3,12,4.3,3.0,Max Strus,3,4,0.75
503,11/12/2022,26.627397260273973,W,1,38.2,10,16,0.625,8,14,0.571,3,3,1.0,0,4,4,2,1,0,0,4,31,25.8,15.0,Max Strus,2,2,1.0
504,11/14/2022,26.632876712328766,W,1,36.166666666666664,2,8,0.25,1,5,0.2,0,0,,1,2,3,2,1,0,2,2,5,1.1,4.0,Max Strus,1,3,0.3333333333333333
509,11/27/2022,26.66849315068493,W,1,32.95,6,15,0.4,4,10,0.4,0,0,,0,3,3,1,0,0,2,2,16,6.7,8.0,Max Strus,2,5,0.4
