Date,Age,Game Result,GS,MP,FG,FGA,FGcent,3P,3PA,3Pcent,FT,FTA,FTcent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PointDifference,Player
10/28/2022,27-096,L (-10),1,37:18:00,7,19,0.368,3,7,0.429,1,1,1,0,9,9,3,1,0,3,4,18,8.7,2,Kyle Kuzma
10/30/2022,27-098,L (-18),1,28:27:00,3,13,0.231,1,5,0.2,2,2,1,1,7,8,1,1,0,0,3,9,4.4,-20,Kyle Kuzma
10/31/2022,27-099,L (-7),1,32:42:00,3,5,0.6,1,1,1,2,2,1,1,6,7,2,0,1,1,3,9,9.1,6,Kyle Kuzma
11/2/2022,27-101,W (+10),1,31:18:00,8,12,0.667,2,5,0.4,0,0,,2,6,8,4,0,0,4,4,18,13.2,2,Kyle Kuzma
11/4/2022,27-103,L (-42),1,23:43,5,12,0.417,3,8,0.375,6,8,0.75,0,5,5,2,0,0,1,2,19,12.9,-22,Kyle Kuzma
11/6/2022,27-105,L (-6),1,34:22:00,5,14,0.357,2,9,0.222,0,0,,2,9,11,2,0,1,3,3,12,6.2,-5,Kyle Kuzma
11/7/2022,27-106,W (+8),1,31:25:00,9,16,0.563,1,3,0.333,1,5,0.2,0,6,6,1,0,1,2,0,20,12,10,Kyle Kuzma
11/10/2022,27-109,W (+8),1,41:12:00,14,26,0.538,5,11,0.455,3,3,1,2,9,11,6,1,0,4,2,36,27.9,-2,Kyle Kuzma
11/12/2022,27-111,W (+9),1,33:10:00,8,19,0.421,1,7,0.143,6,7,0.857,1,7,8,6,0,0,4,2,23,14.7,12,Kyle Kuzma
11/13/2022,27-112,W (+10),1,34:25:00,4,13,0.308,1,7,0.143,0,1,0,1,10,11,3,0,0,4,1,9,2.5,10,Kyle Kuzma
11/16/2022,27-115,L (-1),1,38:56:00,7,15,0.467,3,8,0.375,1,1,1,2,8,10,9,1,0,7,3,18,13.2,13,Kyle Kuzma
11/18/2022,27-117,W (+1),1,40:28:00,9,24,0.375,2,12,0.167,1,3,0.333,0,8,8,5,1,0,4,2,21,9.1,1,Kyle Kuzma
11/20/2022,27-119,W (+4),1,37:46:00,10,19,0.526,4,9,0.444,4,5,0.8,1,9,10,5,0,0,4,2,28,20.4,7,Kyle Kuzma
11/23/2022,27-122,L (-8),1,39:58:00,13,27,0.481,2,13,0.154,5,7,0.714,0,7,7,1,1,0,0,1,33,21.9,-9,Kyle Kuzma
11/25/2022,27-124,L (-3),1,38:52:00,11,22,0.5,3,10,0.3,3,3,1,3,4,7,5,1,0,3,2,28,21,-5,Kyle Kuzma
10/19/2022,27-114,W (+7),1,21:23,2,6,0.333,1,1,1,2,2,1,2,4,6,6,2,0,1,1,7,11,17,Monte Morris
10/21/2022,27-116,W (+2),1,26:27:00,4,8,0.5,1,3,0.333,0,0,,0,4,4,3,1,1,0,0,9,10,5,Monte Morris
10/23/2022,27-118,L (-10),1,26:30:00,5,8,0.625,3,3,1,0,0,,0,3,3,6,0,0,1,3,13,12.3,6,Monte Morris
10/25/2022,27-120,W (+21),1,29:38:00,3,8,0.375,1,4,0.25,2,4,0.5,1,5,6,6,0,0,0,3,9,9,19,Monte Morris
10/28/2022,27-123,L (-10),1,31:09:00,2,8,0.25,0,3,0,1,2,0.5,0,2,2,12,0,1,1,1,5,8.1,6,Monte Morris
10/30/2022,27-125,L (-18),1,27:18:00,1,7,0.143,0,2,0,1,1,1,0,7,7,2,0,0,0,1,3,1.6,-26,Monte Morris
10/31/2022,27-126,L (-7),1,35:08:00,7,13,0.538,2,3,0.667,3,3,1,0,3,3,4,3,0,3,1,19,16,6,Monte Morris
11/2/2022,27-128,W (+10),1,24:00:00,2,5,0.4,0,3,0,2,3,0.667,0,1,1,6,1,0,0,0,6,8.4,-3,Monte Morris
11/4/2022,27-130,L (-42),1,22:43,2,6,0.333,0,3,0,0,0,,0,3,3,5,0,0,3,0,4,2,-23,Monte Morris
