Season,Player,Salary,times_injured,WS,Pos,OWS,DWS,Age,FG,FGA,X3P,X3PA,X2P,X2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2022,Blake Griffin,1836090,42,2.1,C,1.2,0.9,32,2.4,5.6,0.7,2.6,1.7,3,1,1.4,1.1,3,4.1,1.9,0.5,0.3,0.6,1.7,6.4
2022,Bobby Portis,10843350,5,5.5,C,2.9,2.6,26,5.8,12.1,1.8,4.7,3.9,7.4,1.2,1.6,2.5,6.6,9.1,1.2,0.7,0.7,1.3,2.4,14.6
2022,Bol Bol,2200000,2,0.1,PF,0,0.1,22,1.1,1.9,0.1,0.3,1,1.6,0.1,0.4,0.3,1.1,1.4,0.4,0.1,0.1,0.3,0.3,2.4
2022,Bradley Beal,43279250,37,1.4,SG,0.6,0.7,28,8.7,19.3,1.6,5.3,7.1,14,4.2,5.1,1,3.8,4.7,6.6,0.9,0.4,3.4,2.4,23.2
2022,Brandon Clarke,4343920,8,6.3,PF,4.4,1.9,25,4.5,7,0.1,0.3,4.4,6.6,1.3,2,2.1,3.2,5.3,1.3,0.6,1.1,0.5,1.9,10.4
2022,Brandon Ingram,31650600,14,3.9,SF,2.5,1.3,24,8.2,17.9,1.3,4.1,6.9,13.8,4.8,5.9,0.6,5.2,5.8,5.6,0.6,0.5,2.7,2.2,22.7
2022,Brook Lopez,13906976,39,0.7,C,0.3,0.3,33,4.7,10.1,1.5,4.1,3.2,6,1.5,1.8,1.5,2.6,4.1,0.5,0.6,1.2,0.9,2.6,12.4
2022,Bruce Brown,6479000,7,4.8,SF,2.8,2,25,3.6,7,0.5,1.3,3,5.7,1.3,1.8,1.4,3.4,4.8,2.1,1.1,0.7,0.8,2.4,9
2022,Bruno Fernando,2717391,3,0.4,C,0.2,0.2,23,1.2,1.8,0,0.1,1.2,1.8,0.5,0.8,0.6,1.2,1.8,0.2,0,0.4,0.5,0.8,2.9
2022,Bryn Forbes,1836090,16,1.4,SG,0.8,0.6,28,3.1,7.2,1.6,3.9,1.5,3.3,1.1,1.2,0.1,1.1,1.2,1,0.3,0.1,0.7,1.3,8.8
2022,Buddy Hield,21177750,1,1.9,SG,0.8,1.1,29,5.5,13.6,3.2,8.8,2.3,4.7,1.4,1.6,0.8,3.5,4.4,2.8,0.9,0.3,1.9,2.3,15.6
2022,Cam Reddish,5954454,6,1,SF,0.2,0.8,22,3.4,8.3,1.3,3.8,2,4.6,2.1,2.3,0.5,1.6,2.1,1,1,0.3,1.2,1.2,10.1
2022,Cameron Johnson,5887899,5,5.6,PF,3.2,2.4,25,4.2,9.2,2.5,5.9,1.7,3.3,1.5,1.7,0.6,3.5,4.1,1.5,0.9,0.2,0.7,1.7,12.5
2022,Cameron Payne,6000000,16,1.9,PG,0.2,1.8,27,4.1,10.1,1.2,3.6,2.9,6.5,1.3,1.5,0.4,2.6,3,4.9,0.7,0.3,1.8,2.1,10.8
2022,Caris LeVert,18796296,17,2.2,SG,1.2,1,27,6.5,14.7,1.4,4.4,5.1,10.3,2.5,3.3,0.7,2.9,3.7,4.3,0.9,0.4,1.9,2.3,17
2022,Cedi Osman,7426088,5,2.9,SF,1.3,1.6,26,3.7,8.7,1.9,5.4,1.8,3.2,1.3,2,0.4,1.8,2.2,2,0.8,0.2,1,1.9,10.7
2022,Chimezie Metu,1910860,1,1.5,C,0.1,1.4,24,3.4,7.5,1,3.1,2.4,4.4,1.2,1.5,0.6,5,5.6,1,0.9,0.5,1,1.6,8.9
2022,Chris Boucher,12690000,15,6,SF,3.5,2.4,29,3.4,7.2,0.9,2.9,2.5,4.4,1.9,2.4,2.2,3.9,6.2,0.3,0.6,0.9,0.5,2.2,9.4
2022,Chris Paul,28400000,56,9.4,PG,5.8,3.6,36,5.6,11.3,1,3.1,4.6,8.3,2.6,3.1,0.3,4,4.4,10.8,1.9,0.3,2.4,2.1,14.7
2022,Christian Wood,14317459,13,4.9,C,2.9,2,26,6.5,12.9,1.9,4.9,4.5,8,3,4.9,1.6,8.5,10.1,2.3,0.8,1,1.9,2.5,17.9
