Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FGcent,3P,3PA,3Pcent,2P,2PA,2Pcent,eFGcent,FT,FTA,FTcent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_additional
433,Peyton Watson,SG,20,DEN,4,0,9,3,7,.429,0,0,,3,7,.429,.429,0,0,,2,1,3,0,0,0,0,1,6,watsope01
434,Jaden Springer,PG,20,PHI,2,0,4,2,3,.667,0,0,,2,3,.667,.667,1,2,.500,1,1,2,0,0,1,0,1,5,sprinja01
435,Jeff Dowtin,PG,25,TOR,2,0,8,2,4,.500,0,0,,2,4,.500,.500,0,0,,0,1,1,2,0,0,0,0,4,dowtije01
436,Braxton Key,SF,25,DET,2,0,7,1,1,1.000,0,0,,1,1,1.000,1.000,2,2,1.000,0,1,1,0,0,0,0,0,4,keybr01
437,Micah Potter,PF,24,UTA,2,0,12,2,2,1.000,0,0,,2,2,1.000,1.000,0,0,,1,2,3,1,0,0,0,2,4,pottemi01
438,Moussa Diabaté,PF,21,LAC,2,0,6,1,1,1.000,0,0,,1,1,1.000,1.000,1,1,1.000,0,2,2,1,1,0,0,0,3,diabamo01
439,Udonis Haslem,PF,42,MIA,2,0,10,1,3,.333,0,0,,1,3,.333,.333,1,2,.500,0,2,2,0,0,1,0,1,3,hasleud01
440,Scotty Pippen Jr.,PG,22,LAL,2,0,8,0,2,.000,0,0,,0,2,.000,.000,3,4,.750,1,1,2,0,0,0,1,2,3,pippesc02
441,Theo Pinson,SG,27,DAL,2,0,7,0,0,,0,0,,0,0,,,2,2,1.000,0,2,2,1,0,0,0,0,2,pinsoth01
442,Jarrett Culver,SG,23,ATL,1,0,3,0,1,.000,0,0,,0,1,.000,.000,1,2,.500,1,0,1,0,0,0,0,0,1,culveja01
443,Alex Len,C,29,SAC,3,0,8,0,1,.000,0,0,,0,1,.000,.000,1,2,.500,0,2,2,0,0,0,0,2,1,lenal01
444,Thanasis Antetokounmpo,SF,30,MIL,6,0,18,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,4,5,1,0,1,1,2,0,antetth01
445,Buddy Boeheim,PG,23,DET,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,boehebu01
446,Vernon Carey Jr.,C,21,WAS,2,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,careyve01
447,JD Davison,PG,20,BOS,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,0,0,0,davisjd01
448,Trent Forrest,PG,24,ATL,4,0,14,0,3,.000,0,0,,0,3,.000,.000,0,0,,0,2,2,3,0,0,0,1,0,forretr01
449,A.J. Green,SG,23,MIL,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0,greenaj01
450,Malcolm Hill,SF,27,CHI,3,0,1,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,hillma01
451,Cody Martin,SF,27,CHO,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,martico01
452,Chima Moneke,SF,27,SAC,1,0,6,0,1,.000,0,0,,0,1,.000,.000,0,2,.000,2,0,2,1,0,0,0,2,0,monekch01
453,Dereon Seabron,SG,22,NOP,2,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,seabrde01
454,Jack White,SF,25,DEN,2,0,4,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,1,0,0,0,0,whiteja03
